UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Participant
1680003245.3412528,12041,BlankScreen1,2023-03-28 17:04:05.341253,1074.0,532.0,1079.0,542.0,-1.0,-1.0,100349.603,580.8509521484375,578.704345703125,0.5864023566246032,0.4904486536979675,0.426472932100296,0.489893227815628,0.0,0.0,1
1680003245.3495848,12042,BlankScreen1,2023-03-28 17:04:05.349585,1064.0,525.0,1081.0,547.0,-1.0,-1.0,100357.935,580.8504028320312,578.72265625,0.5864986181259155,0.490521490573883,0.4265725016593933,0.4899029433727264,0.0,0.0,1
1680003245.3579714,12043,BlankScreen1,2023-03-28 17:04:05.357971,1064.0,525.0,1095.0,550.0,2.9725494384765625,3.0238037109375,100366.31900000002,580.9077758789064,578.77294921875,0.5864306092262268,0.4905050992965698,0.4264878034591674,0.4898959398269653,0.0,0.0,1
1680003245.3663144,12044,BlankScreen1,2023-03-28 17:04:05.366314,1067.0,533.0,1069.0,559.0,-1.0,-1.0,100374.66499999998,580.8967895507812,578.7383422851562,0.5863867402076721,0.4904885590076446,0.4264588952064514,0.4899358749389648,0.0,0.0,1
1680003245.3747163,12045,BlankScreen1,2023-03-28 17:04:05.374717,1063.0,546.0,1046.0,563.0,-1.0,-1.0,100383.064,580.993408203125,578.81298828125,0.5864124298095703,0.4904609322547912,0.4265348315238952,0.4899209141731262,0.0,0.0,1
1680003245.382983,12046,BlankScreen1,2023-03-28 17:04:05.382983,1068.0,554.0,1047.0,562.0,2.9823150634765625,3.01629638671875,100391.331,581.1873779296875,578.923095703125,0.5863208770751953,0.4904742538928985,0.4264557957649231,0.489935278892517,0.0,0.0,1
1680003245.391249,12047,BlankScreen1,2023-03-28 17:04:05.391249,1060.0,549.0,1031.0,567.0,-1.0,-1.0,100399.60000000003,581.2906494140625,578.9343872070312,0.5863305330276489,0.490503966808319,0.4264178574085235,0.4899620711803436,0.0,0.0,1
1680003245.399636,12048,BlankScreen1,2023-03-28 17:04:05.399636,1057.0,551.0,1042.0,574.0,-1.0,-1.0,100407.985,581.4860229492188,579.054443359375,0.5863614082336425,0.4904775619506835,0.4265069961547851,0.4898934662342071,0.0,0.0,1
1680003245.407926,12049,BlankScreen1,2023-03-28 17:04:05.407926,1055.0,534.0,1065.0,542.0,2.830413818359375,2.981689453125,100416.277,581.7481689453125,579.202880859375,0.5862651467323303,0.4904682338237762,0.4264141321182251,0.4899587333202362,0.0,0.0,1
1680003245.4162543,12050,BlankScreen1,2023-03-28 17:04:05.416255,1043.0,496.0,1066.0,551.0,-1.0,-1.0,100424.604,581.9328002929688,579.2489624023438,0.586247444152832,0.4905095398426055,0.4263640642166137,0.4899783134460449,0.0,0.0,1
1680003245.4246116,12051,BlankScreen1,2023-03-28 17:04:05.424612,1042.0,496.0,1075.0,547.0,-1.0,-1.0,100432.961,582.244140625,579.3889770507812,0.5862716436386108,0.4904527962207794,0.4264504611492157,0.4899540841579437,0.0,0.0,1
1680003245.432926,12052,BlankScreen1,2023-03-28 17:04:05.432926,1022.0,581.0,1077.0,550.0,2.9381561279296875,3.0112762451171875,100441.276,582.592529296875,579.5392456054688,0.5861966013908386,0.4904295802116394,0.4263650178909301,0.4899454712867736,0.0,0.0,1
1680003245.4412484,12053,BlankScreen1,2023-03-28 17:04:05.441248,1022.0,581.0,1072.0,546.0,-1.0,-1.0,100449.598,582.8729858398438,579.572509765625,0.5861499309539794,0.4904805719852447,0.4263226091861724,0.4899706542491912,0.0,0.0,1
1680003245.4495728,12054,BlankScreen1,2023-03-28 17:04:05.449573,1058.0,547.0,1074.0,549.0,-1.0,-1.0,100457.923,583.2528686523438,579.6906127929688,0.5861912965774536,0.4904342293739318,0.4264281392097473,0.48988538980484,0.0,0.0,1
1680003245.4580867,12055,BlankScreen1,2023-03-28 17:04:05.458087,1062.0,539.0,1067.0,532.0,2.92083740234375,2.9627227783203125,100466.435,583.6732177734375,579.8125610351562,0.5861768126487731,0.4905017912387847,0.4263511300086975,0.4899308383464813,0.0,0.0,1
1680003245.4662566,12056,BlankScreen1,2023-03-28 17:04:05.466257,1045.0,535.0,1070.0,554.0,-1.0,-1.0,100474.60499999998,583.9866333007812,579.821533203125,0.586220383644104,0.4904938042163848,0.4264347553253173,0.4899520874023437,0.0,0.0,1
1680003245.475543,12057,BlankScreen1,2023-03-28 17:04:05.475543,1020.0,527.0,1046.0,546.0,-1.0,-1.0,100483.89299999998,584.348388671875,579.9149169921875,0.5864994525909423,0.4904174208641052,0.4267433285713195,0.4898494482040405,0.0,0.0,1
1680003245.4829142,12058,BlankScreen1,2023-03-28 17:04:05.482914,969.0,525.0,1018.0,545.0,2.903717041015625,2.9756011962890625,100491.26300000004,584.7418212890625,580.017822265625,0.5865758657455444,0.490429937839508,0.4268292188644409,0.4898103177547454,0.0,0.0,1
1680003245.491245,12059,BlankScreen1,2023-03-28 17:04:05.491245,969.0,525.0,981.0,532.0,-1.0,-1.0,100499.59500000004,585.0208740234375,579.9963989257812,0.5864994525909423,0.4904097914695739,0.4268171787261962,0.4897583723068237,0.0,0.0,1
